,町丁目,世帯数,総数,男,女,年度,月次,公開件数
270,春日一丁目,971,1531,676,855,2016,5,49
271,春日二丁目,2093,4090,1957,2133,2016,5,81
272,小石川一丁目,1793,3414,1578,1836,2016,5,56
273,小石川二丁目,2124,3919,1876,2043,2016,5,85
274,小石川三丁目,2512,5181,2470,2711,2016,5,43
275,小石川四丁目,1782,3599,1644,1955,2016,5,71
276,小石川五丁目,2926,5566,2531,3035,2016,5,124
277,白山一丁目,2661,4708,2319,2389,2016,5,83
278,白山二丁目,2257,4172,2042,2130,2016,5,90
279,白山三丁目,531,1024,493,531,2016,5,19
280,白山四丁目,2269,4328,2048,2280,2016,5,57
281,白山五丁目,2143,3750,1712,2038,2016,5,84
282,千石一丁目,1892,3856,1806,2050,2016,5,63
283,千石二丁目,2049,4236,2040,2196,2016,5,47
284,千石三丁目,2162,4367,2091,2276,2016,5,57
285,千石四丁目,3263,5609,2703,2906,2016,5,162
286,水道一丁目,1414,2610,1291,1319,2016,5,34
287,水道二丁目,1994,3177,1599,1578,2016,5,100
288,小日向一丁目,1129,2216,1019,1197,2016,5,33
289,小日向二丁目,1090,2443,1172,1271,2016,5,18
290,小日向三丁目,657,1299,622,677,2016,5,28
291,小日向四丁目,956,1782,845,937,2016,5,31
292,大塚一丁目,534,1134,505,629,2016,5,3
293,大塚二丁目,1078,1956,828,1128,2016,5,16
294,大塚三丁目,2163,3584,1652,1932,2016,5,153
295,大塚四丁目,1815,3099,1455,1644,2016,5,50
296,大塚五丁目,2399,4344,2065,2279,2016,5,76
297,大塚六丁目,2264,3918,1965,1953,2016,5,69
298,関口一丁目,2690,4603,2147,2456,2016,5,162
299,関口二丁目,493,1019,480,539,2016,5,17
300,関口三丁目,452,926,454,472,2016,5,18
301,目白台一丁目,1231,2184,1160,1024,2016,5,39
302,目白台二丁目,1191,2190,1032,1158,2016,5,36
303,目白台三丁目,1356,2560,1180,1380,2016,5,38
304,音羽一丁目,2368,4023,1796,2227,2016,5,73
305,音羽二丁目,1016,1779,798,981,2016,5,22
306,本郷一丁目,2172,4231,1954,2277,2016,5,117
307,本郷二丁目,1883,3141,1484,1657,2016,5,147
308,本郷三丁目,1936,3012,1367,1645,2016,5,85
309,本郷四丁目,2273,4176,1986,2190,2016,5,48
310,本郷五丁目,1910,3387,1720,1667,2016,5,79
311,本郷六丁目,1098,1917,965,952,2016,5,53
312,湯島一丁目,467,684,319,365,2016,5,33
313,湯島二丁目,1689,2740,1387,1353,2016,5,92
314,湯島三丁目,1875,2875,1426,1449,2016,5,187
315,湯島四丁目,1185,2116,1065,1051,2016,5,51
316,西片一丁目,1190,2398,1135,1263,2016,5,42
