,町丁目,世帯数,総数,男,女,年度,月次,公開件数
1948,小石川四丁目,1709,3363,1512,1851,2014,6,79
1949,小石川五丁目,2865,5430,2490,2940,2014,6,158
1950,白山一丁目,2521,4547,2237,2310,2014,6,128
1951,白山二丁目,2165,4010,1964,2046,2014,6,151
1952,白山三丁目,528,1023,492,531,2014,6,21
1953,白山四丁目,2237,4316,2048,2268,2014,6,72
1954,白山五丁目,2046,3639,1667,1972,2014,6,155
1955,千石一丁目,1878,3866,1814,2052,2014,6,53
1956,千石二丁目,1924,3913,1861,2052,2014,6,78
1957,千石三丁目,2136,4306,2082,2224,2014,6,75
1958,千石四丁目,3059,5317,2536,2781,2014,6,162
1959,水道一丁目,1383,2554,1245,1309,2014,6,58
1960,水道二丁目,1870,2993,1510,1483,2014,6,142
1961,小日向一丁目,1094,2131,966,1165,2014,6,18
1962,小日向二丁目,1071,2396,1154,1242,2014,6,28
1963,小日向三丁目,641,1297,630,667,2014,6,44
1964,小日向四丁目,959,1781,846,935,2014,6,51
1965,大塚一丁目,560,1181,554,627,2014,6,3
1966,大塚二丁目,1058,1941,832,1109,2014,6,16
1967,大塚三丁目,1985,3359,1547,1812,2014,6,165
1968,大塚四丁目,1781,3029,1416,1613,2014,6,49
1969,大塚五丁目,2333,4261,2018,2243,2014,6,117
1970,大塚六丁目,2141,3706,1866,1840,2014,6,134
1971,関口一丁目,2463,4228,1978,2250,2014,6,184
1972,関口二丁目,454,935,432,503,2014,6,23
1973,関口三丁目,448,906,432,474,2014,6,14
1974,目白台一丁目,1298,2236,1240,996,2014,6,37
1975,目白台二丁目,1159,2125,998,1127,2014,6,43
1976,目白台三丁目,1315,2540,1204,1336,2014,6,30
1977,音羽一丁目,2331,3914,1738,2176,2014,6,94
1978,音羽二丁目,982,1750,755,995,2014,6,57
1979,本郷一丁目,2114,4088,1875,2213,2014,6,117
1980,本郷二丁目,1742,2937,1391,1546,2014,6,117
1981,本郷三丁目,1833,2898,1361,1537,2014,6,92
1982,本郷四丁目,2184,3950,1863,2087,2014,6,87
1983,本郷五丁目,1842,3286,1689,1597,2014,6,81
1984,本郷六丁目,1100,1880,948,932,2014,6,48
1985,湯島一丁目,455,683,305,378,2014,6,35
1986,湯島二丁目,1523,2489,1260,1229,2014,6,100
1987,湯島三丁目,1789,2781,1376,1405,2014,6,198
1988,湯島四丁目,1150,2033,1044,989,2014,6,52
1989,西片一丁目,1164,2379,1127,1252,2014,6,49
1990,西片二丁目,1441,2887,1443,1444,2014,6,58
1991,向丘一丁目,1800,3287,1657,1630,2014,6,95
1992,向丘二丁目,1889,3241,1508,1733,2014,6,119
1993,弥生一丁目,249,433,218,215,2014,6,9
1994,弥生二丁目,823,1562,750,812,2014,6,34
1995,根津一丁目,1392,2486,1106,1380,2014,6,49
1996,根津二丁目,2124,3681,1743,1938,2014,6,108
1997,千駄木一丁目,710,1461,681,780,2014,6,24
1998,千駄木二丁目,2459,4322,2021,2301,2014,6,114
1999,千駄木三丁目,3652,6584,3134,3450,2014,6,175
2000,千駄木四丁目,1588,2943,1449,1494,2014,6,94
2001,千駄木五丁目,2270,4612,2214,2398,2014,6,80
2002,本駒込一丁目,2303,4477,2115,2362,2014,6,123
2003,本駒込二丁目,2536,4809,2312,2497,2014,6,118
2004,本駒込三丁目,1804,3213,1517,1696,2014,6,80
2005,本駒込四丁目,2120,4137,2005,2132,2014,6,87
2006,本駒込五丁目,2964,5529,2673,2856,2014,6,129
2007,本駒込六丁目,1654,3230,1459,1771,2014,6,102
2008,後楽一丁目,567,858,473,385,2014,7,10
2009,後楽二丁目,833,1483,744,739,2014,7,45
2010,春日一丁目,963,1536,707,829,2014,7,64
2011,春日二丁目,2029,3996,1901,2095,2014,7,111
2012,小石川一丁目,1992,3688,1700,1988,2014,7,103
2013,小石川二丁目,2084,3822,1793,2029,2014,7,101
2014,小石川三丁目,2418,4951,2349,2602,2014,7,78
2015,小石川四丁目,1710,3361,1507,1854,2014,7,66
2016,小石川五丁目,2867,5457,2508,2949,2014,7,173
2017,白山一丁目,2529,4572,2245,2327,2014,7,143
2018,白山二丁目,2171,4027,1968,2059,2014,7,180
2019,白山三丁目,525,1014,489,525,2014,7,26
2020,白山四丁目,2235,4334,2058,2276,2014,7,78
2021,白山五丁目,2051,3644,1671,1973,2014,7,153
2022,千石一丁目,1884,3867,1815,2052,2014,7,57
2023,千石二丁目,1927,3922,1861,2061,2014,7,75
2024,千石三丁目,2143,4325,2092,2233,2014,7,68
2025,千石四丁目,3057,5316,2532,2784,2014,7,184
2026,水道一丁目,1373,2540,1241,1299,2014,7,71
2027,水道二丁目,1880,3006,1520,1486,2014,7,126
2028,小日向一丁目,1085,2117,955,1162,2014,7,17
2029,小日向二丁目,1069,2385,1149,1236,2014,7,24
2030,小日向三丁目,641,1302,634,668,2014,7,40
2031,小日向四丁目,965,1795,852,943,2014,7,59
2032,大塚一丁目,560,1183,555,628,2014,7,3
2033,大塚二丁目,1057,1941,831,1110,2014,7,10
2034,大塚三丁目,1996,3373,1557,1816,2014,7,145
2035,大塚四丁目,1788,3038,1422,1616,2014,7,67
2036,大塚五丁目,2325,4245,2009,2236,2014,7,113
2037,大塚六丁目,2141,3714,1872,1842,2014,7,114
2038,関口一丁目,2465,4222,1978,2244,2014,7,144
2039,関口二丁目,453,935,431,504,2014,7,23
2040,関口三丁目,447,901,432,469,2014,7,20
2041,目白台一丁目,1303,2240,1247,993,2014,7,53
2042,目白台二丁目,1153,2125,996,1129,2014,7,52
2043,目白台三丁目,1318,2539,1202,1337,2014,7,30
2044,音羽一丁目,2344,3932,1751,2181,2014,7,93
2045,音羽二丁目,979,1747,755,992,2014,7,35
2046,本郷一丁目,2115,4086,1875,2211,2014,7,123
2047,本郷二丁目,1733,2922,1384,1538,2014,7,105
2048,本郷三丁目,1842,2908,1362,1546,2014,7,118
2049,本郷四丁目,2179,3942,1856,2086,2014,7,74
2050,本郷五丁目,1833,3274,1681,1593,2014,7,82
2051,本郷六丁目,1099,1889,952,937,2014,7,54
2052,湯島一丁目,459,690,309,381,2014,7,36
2053,湯島二丁目,1532,2506,1267,1239,2014,7,94
2054,湯島三丁目,1781,2761,1371,1390,2014,7,194
2055,湯島四丁目,1125,2011,1019,992,2014,7,49
2056,西片一丁目,1166,2384,1126,1258,2014,7,89
2057,西片二丁目,1436,2876,1436,1440,2014,7,54
2058,向丘一丁目,1788,3273,1657,1616,2014,7,103
2059,向丘二丁目,1889,3243,1509,1734,2014,7,92
2060,弥生一丁目,247,433,219,214,2014,7,6
2061,弥生二丁目,821,1558,746,812,2014,7,36
2062,根津一丁目,1391,2477,1098,1379,2014,7,40
2063,根津二丁目,2131,3688,1745,1943,2014,7,72
2064,千駄木一丁目,706,1456,679,777,2014,7,23
2065,千駄木二丁目,2465,4333,2023,2310,2014,7,122
2066,千駄木三丁目,3651,6579,3131,3448,2014,7,192
2067,千駄木四丁目,1586,2942,1454,1488,2014,7,83
2068,千駄木五丁目,2271,4604,2215,2389,2014,7,99
2069,本駒込一丁目,2322,4505,2123,2382,2014,7,87
2070,本駒込二丁目,2538,4822,2321,2501,2014,7,125
2071,本駒込三丁目,1798,3210,1515,1695,2014,7,87
2072,本駒込四丁目,2112,4118,1992,2126,2014,7,100
2073,本駒込五丁目,2952,5512,2661,2851,2014,7,144
2074,本駒込六丁目,1666,3256,1474,1782,2014,7,85
2075,後楽一丁目,572,866,479,387,2014,8,6
2076,後楽二丁目,828,1479,739,740,2014,8,44
2077,春日一丁目,972,1548,710,838,2014,8,48
2078,春日二丁目,2024,3973,1894,2079,2014,8,118
2079,小石川一丁目,1985,3685,1697,1988,2014,8,87
2080,小石川二丁目,2079,3827,1800,2027,2014,8,82
2081,小石川三丁目,2414,4945,2340,2605,2014,8,59
2082,小石川四丁目,1701,3356,1503,1853,2014,8,54
2083,小石川五丁目,2870,5483,2515,2968,2014,8,170
2084,白山一丁目,2537,4572,2243,2329,2014,8,125
2085,白山二丁目,2170,4037,1977,2060,2014,8,192
2086,白山三丁目,521,1010,487,523,2014,8,19
2087,白山四丁目,2238,4342,2068,2274,2014,8,72
2088,白山五丁目,2047,3650,1677,1973,2014,8,151
2089,千石一丁目,1879,3855,1811,2044,2014,8,69
2090,千石二丁目,1921,3914,1854,2060,2014,8,71
2091,千石三丁目,2154,4341,2094,2247,2014,8,68
2092,千石四丁目,3056,5322,2537,2785,2014,8,169
2093,水道一丁目,1372,2542,1239,1303,2014,8,70
2094,水道二丁目,1893,3016,1525,1491,2014,8,117
2095,小日向一丁目,1087,2121,958,1163,2014,8,16
2096,小日向二丁目,1062,2372,1141,1231,2014,8,24
2097,小日向三丁目,643,1302,632,670,2014,8,41
2098,小日向四丁目,962,1793,852,941,2014,8,59
2099,大塚一丁目,555,1177,548,629,2014,8,5
2100,大塚二丁目,1057,1943,830,1113,2014,8,11
2101,大塚三丁目,1992,3369,1558,1811,2014,8,157
2102,大塚四丁目,1788,3038,1422,1616,2014,8,78
2103,大塚五丁目,2334,4267,2014,2253,2014,8,107
2104,大塚六丁目,2140,3720,1870,1850,2014,8,107
2105,関口一丁目,2480,4228,1982,2246,2014,8,139
2106,関口二丁目,449,928,428,500,2014,8,24
2107,関口三丁目,444,896,430,466,2014,8,21
2108,目白台一丁目,1280,2218,1226,992,2014,8,43
2109,目白台二丁目,1143,2115,987,1128,2014,8,48
2110,目白台三丁目,1319,2551,1204,1347,2014,8,46
2111,音羽一丁目,2338,3933,1756,2177,2014,8,94
2112,音羽二丁目,979,1753,760,993,2014,8,25
2113,本郷一丁目,2112,4092,1879,2213,2014,8,133
2114,本郷二丁目,1730,2913,1384,1529,2014,8,98
2115,本郷三丁目,1854,2920,1365,1555,2014,8,125
2116,本郷四丁目,2189,3975,1873,2102,2014,8,70
2117,本郷五丁目,1840,3286,1688,1598,2014,8,86
2118,本郷六丁目,1091,1883,954,929,2014,8,55
2119,湯島一丁目,471,700,322,378,2014,8,33
2120,湯島二丁目,1537,2504,1265,1239,2014,8,88
2121,湯島三丁目,1791,2769,1380,1389,2014,8,188
2122,湯島四丁目,1126,2007,1022,985,2014,8,48
2123,西片一丁目,1164,2375,1119,1256,2014,8,75
2124,西片二丁目,1437,2873,1430,1443,2014,8,44
2125,向丘一丁目,1794,3280,1657,1623,2014,8,95
2126,向丘二丁目,1882,3243,1513,1730,2014,8,84
2127,弥生一丁目,242,428,215,213,2014,8,6
2128,弥生二丁目,815,1552,741,811,2014,8,36
2129,根津一丁目,1384,2466,1091,1375,2014,8,48
2130,根津二丁目,2142,3703,1759,1944,2014,8,85
2131,千駄木一丁目,704,1458,682,776,2014,8,27
2132,千駄木二丁目,2454,4323,2015,2308,2014,8,112
2133,千駄木三丁目,3650,6577,3141,3436,2014,8,187
2134,千駄木四丁目,1582,2938,1459,1479,2014,8,88
2135,千駄木五丁目,2260,4594,2210,2384,2014,8,98
2136,本駒込一丁目,2324,4520,2131,2389,2014,8,77
2137,本駒込二丁目,2534,4812,2307,2505,2014,8,116
2138,本駒込三丁目,1789,3211,1515,1696,2014,8,98
2139,本駒込四丁目,2113,4129,2000,2129,2014,8,92
2140,本駒込五丁目,2965,5531,2671,2860,2014,8,135
2141,本駒込六丁目,1691,3307,1507,1800,2014,8,84
2142,後楽一丁目,562,858,475,383,2014,9,3
2143,後楽二丁目,829,1477,743,734,2014,9,39
2144,春日一丁目,972,1543,707,836,2014,9,52
2145,春日二丁目,2022,3971,1894,2077,2014,9,99
2146,小石川一丁目,1995,3700,1706,1994,2014,9,86
2147,小石川二丁目,2084,3829,1801,2028,2014,9,87
2148,小石川三丁目,2424,4952,2347,2605,2014,9,57
2149,小石川四丁目,1698,3349,1505,1844,2014,9,63
2150,小石川五丁目,2862,5492,2518,2974,2014,9,129
2151,白山一丁目,2544,4591,2254,2337,2014,9,131
2152,白山二丁目,2164,4028,1971,2057,2014,9,181
2153,白山三丁目,525,1018,491,527,2014,9,22
2154,白山四丁目,2223,4308,2054,2254,2014,9,78
2155,白山五丁目,2041,3646,1674,1972,2014,9,130
2156,千石一丁目,1879,3853,1818,2035,2014,9,65
2157,千石二丁目,1923,3917,1857,2060,2014,9,48
2158,千石三丁目,2149,4340,2095,2245,2014,9,74
2159,千石四丁目,3055,5320,2544,2776,2014,9,163
2160,水道一丁目,1371,2535,1238,1297,2014,9,74
2161,水道二丁目,1895,3024,1531,1493,2014,9,138
2162,小日向一丁目,1090,2125,958,1167,2014,9,18
2163,小日向二丁目,1058,2374,1139,1235,2014,9,36
2164,小日向三丁目,645,1302,632,670,2014,9,35
2165,小日向四丁目,960,1796,854,942,2014,9,49
2166,大塚一丁目,552,1173,548,625,2014,9,1
2167,大塚二丁目,1051,1928,824,1104,2014,9,22
2168,大塚三丁目,2007,3400,1567,1833,2014,9,147
2169,大塚四丁目,1768,3024,1421,1603,2014,9,79
2170,大塚五丁目,2336,4260,2014,2246,2014,9,134
2171,大塚六丁目,2145,3728,1873,1855,2014,9,90
2172,関口一丁目,2488,4236,1984,2252,2014,9,136
2173,関口二丁目,451,933,428,505,2014,9,21
2174,関口三丁目,440,891,427,464,2014,9,21
2175,目白台一丁目,1277,2216,1221,995,2014,9,45
2176,目白台二丁目,1137,2103,987,1116,2014,9,50
2177,目白台三丁目,1317,2543,1200,1343,2014,9,46
2178,音羽一丁目,2337,3931,1752,2179,2014,9,73
2179,音羽二丁目,985,1774,773,1001,2014,9,22
2180,本郷一丁目,2108,4084,1876,2208,2014,9,120
2181,本郷二丁目,1737,2916,1386,1530,2014,9,96
2182,本郷三丁目,1870,2940,1379,1561,2014,9,114
2183,本郷四丁目,2201,3991,1884,2107,2014,9,83
2184,本郷五丁目,1833,3273,1679,1594,2014,9,74
2185,本郷六丁目,1087,1882,952,930,2014,9,52
2186,湯島一丁目,471,699,322,377,2014,9,22
2187,湯島二丁目,1541,2511,1272,1239,2014,9,73
2188,湯島三丁目,1802,2786,1387,1399,2014,9,150
2189,湯島四丁目,1127,2010,1019,991,2014,9,31
2190,西片一丁目,1167,2376,1119,1257,2014,9,42
2191,西片二丁目,1439,2884,1434,1450,2014,9,41
2192,向丘一丁目,1776,3256,1640,1616,2014,9,89
2193,向丘二丁目,1873,3238,1516,1722,2014,9,68
2194,弥生一丁目,239,425,214,211,2014,9,7
2195,弥生二丁目,810,1544,740,804,2014,9,33
2196,根津一丁目,1381,2467,1086,1381,2014,9,38
2197,根津二丁目,2138,3698,1756,1942,2014,9,89
2198,千駄木一丁目,708,1455,678,777,2014,9,23
2199,千駄木二丁目,2448,4329,2023,2306,2014,9,122
2200,千駄木三丁目,3632,6556,3132,3424,2014,9,171
2201,千駄木四丁目,1582,2932,1457,1475,2014,9,75
2202,千駄木五丁目,2249,4588,2209,2379,2014,9,89
2203,本駒込一丁目,2333,4531,2129,2402,2014,9,71
2204,本駒込二丁目,2532,4823,2310,2513,2014,9,112
2205,本駒込三丁目,1789,3206,1518,1688,2014,9,101
2206,本駒込四丁目,2119,4144,2013,2131,2014,9,85
2207,本駒込五丁目,2964,5527,2669,2858,2014,9,146
2208,本駒込六丁目,1705,3329,1519,1810,2014,9,76
2209,後楽一丁目,576,873,489,384,2014,10,1
2210,後楽二丁目,836,1487,750,737,2014,10,41
2211,春日一丁目,969,1541,705,836,2014,10,51
2212,春日二丁目,2013,3954,1885,2069,2014,10,84
2213,小石川一丁目,2004,3723,1714,2009,2014,10,82
2214,小石川二丁目,2087,3836,1801,2035,2014,10,77
2215,小石川三丁目,2422,4971,2354,2617,2014,10,51
2216,小石川四丁目,1697,3347,1504,1843,2014,10,67
2217,小石川五丁目,2883,5531,2543,2988,2014,10,149
2218,白山一丁目,2543,4584,2250,2334,2014,10,145
2219,白山二丁目,2160,4029,1973,2056,2014,10,181
2220,白山三丁目,523,1023,494,529,2014,10,16
2221,白山四丁目,2227,4312,2050,2262,2014,10,98
2222,白山五丁目,2039,3648,1678,1970,2014,10,124
2223,千石一丁目,1874,3845,1813,2032,2014,10,57
2224,千石二丁目,1928,3918,1860,2058,2014,10,52
2225,千石三丁目,2150,4343,2093,2250,2014,10,62
2226,千石四丁目,3058,5321,2540,2781,2014,10,158
2227,水道一丁目,1368,2544,1240,1304,2014,10,76
2228,水道二丁目,1897,3024,1532,1492,2014,10,142
2229,小日向一丁目,1128,2199,993,1206,2014,10,15
2230,小日向二丁目,1059,2372,1137,1235,2014,10,33
2231,小日向三丁目,645,1301,632,669,2014,10,34
2232,小日向四丁目,971,1814,858,956,2014,10,50
2233,大塚一丁目,555,1175,548,627,2014,10,4
2234,大塚二丁目,1054,1929,827,1102,2014,10,15
2235,大塚三丁目,1999,3386,1561,1825,2014,10,125
2236,大塚四丁目,1764,3021,1418,1603,2014,10,79
2237,大塚五丁目,2327,4255,2010,2245,2014,10,116
2238,大塚六丁目,2168,3750,1889,1861,2014,10,79
2239,関口一丁目,2490,4238,1979,2259,2014,10,131
2240,関口二丁目,476,994,457,537,2014,10,13
2241,関口三丁目,439,889,425,464,2014,10,27
2242,目白台一丁目,1296,2237,1235,1002,2014,10,38
2243,目白台二丁目,1144,2101,985,1116,2014,10,38
2244,目白台三丁目,1316,2536,1194,1342,2014,10,59
2245,音羽一丁目,2345,3950,1759,2191,2014,10,83
2246,音羽二丁目,987,1778,776,1002,2014,10,25
2247,本郷一丁目,2110,4091,1878,2213,2014,10,94
2248,本郷二丁目,1738,2927,1388,1539,2014,10,101
2249,本郷三丁目,1876,2945,1377,1568,2014,10,115
2250,本郷四丁目,2194,3992,1887,2105,2014,10,74
2251,本郷五丁目,1854,3293,1687,1606,2014,10,61
2252,本郷六丁目,1096,1894,960,934,2014,10,64
2253,湯島一丁目,472,697,323,374,2014,10,23
2254,湯島二丁目,1539,2505,1263,1242,2014,10,102
2255,湯島三丁目,1804,2801,1394,1407,2014,10,159
2256,湯島四丁目,1134,2016,1026,990,2014,10,36
2257,西片一丁目,1172,2378,1117,1261,2014,10,56
2258,西片二丁目,1435,2880,1436,1444,2014,10,40
2259,向丘一丁目,1776,3251,1644,1607,2014,10,98
2260,向丘二丁目,1878,3247,1518,1729,2014,10,72
2261,弥生一丁目,235,420,211,209,2014,10,13
2262,弥生二丁目,809,1541,741,800,2014,10,30
2263,根津一丁目,1383,2475,1091,1384,2014,10,26
2264,根津二丁目,2146,3712,1766,1946,2014,10,79
2265,千駄木一丁目,703,1451,674,777,2014,10,24
2266,千駄木二丁目,2450,4324,2031,2293,2014,10,123
2267,千駄木三丁目,3690,6628,3161,3467,2014,10,181
2268,千駄木四丁目,1585,2939,1466,1473,2014,10,90
2269,千駄木五丁目,2244,4585,2202,2383,2014,10,81
2270,本駒込一丁目,2330,4524,2127,2397,2014,10,74
2271,本駒込二丁目,2536,4821,2309,2512,2014,10,101
2272,本駒込三丁目,1787,3204,1523,1681,2014,10,101
2273,本駒込四丁目,2117,4142,2008,2134,2014,10,72
2274,本駒込五丁目,2968,5533,2669,2864,2014,10,150
2275,本駒込六丁目,1718,3364,1535,1829,2014,10,76
2276,後楽一丁目,580,872,487,385,2014,11,3
2277,後楽二丁目,829,1476,741,735,2014,11,44
2278,春日一丁目,965,1529,699,830,2014,11,53
2279,春日二丁目,2031,3974,1902,2072,2014,11,62
2280,小石川一丁目,2008,3722,1716,2006,2014,11,68
2281,小石川二丁目,2089,3841,1805,2036,2014,11,87
2282,小石川三丁目,2460,5039,2392,2647,2014,11,45
2283,小石川四丁目,1692,3340,1505,1835,2014,11,72
2284,小石川五丁目,2895,5541,2545,2996,2014,11,124
2285,白山一丁目,2552,4596,2261,2335,2014,11,130
2286,白山二丁目,2166,4044,1980,2064,2014,11,181
2287,白山三丁目,523,1021,494,527,2014,11,13
2288,白山四丁目,2228,4321,2059,2262,2014,11,92
2289,白山五丁目,2050,3662,1678,1984,2014,11,117
2290,千石一丁目,1876,3839,1805,2034,2014,11,52
2291,千石二丁目,1936,3920,1862,2058,2014,11,56
2292,千石三丁目,2144,4336,2093,2243,2014,11,55
2293,千石四丁目,3066,5332,2549,2783,2014,11,156
2294,水道一丁目,1374,2560,1247,1313,2014,11,69
2295,水道二丁目,1896,3024,1533,1491,2014,11,141
2296,小日向一丁目,1131,2199,996,1203,2014,11,21
2297,小日向二丁目,1060,2371,1135,1236,2014,11,31
2298,小日向三丁目,643,1298,627,671,2014,11,30
2299,小日向四丁目,977,1824,867,957,2014,11,41
2300,大塚一丁目,561,1189,558,631,2014,11,7
2301,大塚二丁目,1049,1926,824,1102,2014,11,20
2302,大塚三丁目,1997,3379,1558,1821,2014,11,117
2303,大塚四丁目,1776,3031,1430,1601,2014,11,64
2304,大塚五丁目,2339,4262,2015,2247,2014,11,91
2305,大塚六丁目,2167,3757,1893,1864,2014,11,82
2306,関口一丁目,2492,4236,1975,2261,2014,11,121
2307,関口二丁目,476,998,461,537,2014,11,20
2308,関口三丁目,437,886,423,463,2014,11,23
2309,目白台一丁目,1301,2246,1242,1004,2014,11,38
2310,目白台二丁目,1161,2125,995,1130,2014,11,30
2311,目白台三丁目,1326,2550,1205,1345,2014,11,36
2312,音羽一丁目,2339,3945,1752,2193,2014,11,72
2313,音羽二丁目,982,1773,775,998,2014,11,31
2314,本郷一丁目,2108,4099,1883,2216,2014,11,76
2315,本郷二丁目,1732,2926,1379,1547,2014,11,89
2316,本郷三丁目,1885,2963,1384,1579,2014,11,117
2317,本郷四丁目,2209,3998,1892,2106,2014,11,74
2318,本郷五丁目,1851,3300,1696,1604,2014,11,53
2319,本郷六丁目,1097,1891,957,934,2014,11,80
2320,湯島一丁目,471,697,322,375,2014,11,12
2321,湯島二丁目,1538,2510,1267,1243,2014,11,91
2322,湯島三丁目,1803,2803,1398,1405,2014,11,149
2323,湯島四丁目,1132,2012,1022,990,2014,11,40
2324,西片一丁目,1182,2389,1120,1269,2014,11,34
2325,西片二丁目,1449,2903,1449,1454,2014,11,46
2326,向丘一丁目,1783,3250,1641,1609,2014,11,77
2327,向丘二丁目,1873,3238,1514,1724,2014,11,82
2328,弥生一丁目,237,422,213,209,2014,11,14
2329,弥生二丁目,816,1549,748,801,2014,11,17
2330,根津一丁目,1392,2488,1101,1387,2014,11,24
2331,根津二丁目,2161,3734,1778,1956,2014,11,69
2332,千駄木一丁目,705,1449,672,777,2014,11,25
2333,千駄木二丁目,2465,4344,2039,2305,2014,11,118
2334,千駄木三丁目,3692,6625,3161,3464,2014,11,189
2335,千駄木四丁目,1583,2949,1473,1476,2014,11,100
2336,千駄木五丁目,2243,4581,2197,2384,2014,11,79
2337,本駒込一丁目,2330,4523,2125,2398,2014,11,79
2338,本駒込二丁目,2556,4853,2333,2520,2014,11,100
2339,本駒込三丁目,1793,3218,1535,1683,2014,11,84
2340,本駒込四丁目,2116,4142,2007,2135,2014,11,65
2341,本駒込五丁目,2981,5544,2669,2875,2014,11,192
2342,本駒込六丁目,1739,3395,1545,1850,2014,11,71
2343,後楽一丁目,561,857,468,389,2014,12,6
2344,後楽二丁目,825,1466,736,730,2014,12,51
2345,春日一丁目,971,1539,704,835,2014,12,46
2346,春日二丁目,2038,3992,1910,2082,2014,12,77
2347,小石川一丁目,2008,3717,1717,2000,2014,12,77
2348,小石川二丁目,2101,3860,1820,2040,2014,12,77
2349,小石川三丁目,2460,5044,2398,2646,2014,12,54
2350,小石川四丁目,1693,3344,1508,1836,2014,12,61
2351,小石川五丁目,2896,5540,2544,2996,2014,12,118
2352,白山一丁目,2554,4597,2257,2340,2014,12,141
2353,白山二丁目,2180,4059,1991,2068,2014,12,146
2354,白山三丁目,524,1022,497,525,2014,12,10
2355,白山四丁目,2229,4320,2059,2261,2014,12,86
2356,白山五丁目,2040,3651,1670,1981,2014,12,114
2357,千石一丁目,1884,3848,1807,2041,2014,12,59
2358,千石二丁目,1932,3916,1862,2054,2014,12,72
2359,千石三丁目,2149,4353,2098,2255,2014,12,59
2360,千石四丁目,3067,5338,2558,2780,2014,12,136
2361,水道一丁目,1373,2547,1241,1306,2014,12,76
2362,水道二丁目,1897,3024,1530,1494,2014,12,120
2363,小日向一丁目,1139,2211,1004,1207,2014,12,20
2364,小日向二丁目,1057,2363,1131,1232,2014,12,32
2365,小日向三丁目,648,1306,630,676,2014,12,24
2366,小日向四丁目,976,1822,865,957,2014,12,41
2367,大塚一丁目,556,1180,552,628,2014,12,7
2368,大塚二丁目,1040,1921,819,1102,2014,12,10
2369,大塚三丁目,1996,3377,1563,1814,2014,12,109
2370,大塚四丁目,1774,3027,1424,1603,2014,12,68
2371,大塚五丁目,2343,4257,2020,2237,2014,12,80
2372,大塚六丁目,2170,3763,1899,1864,2014,12,74
2373,関口一丁目,2485,4230,1975,2255,2014,12,131
2374,関口二丁目,474,992,459,533,2014,12,26
2375,関口三丁目,435,889,427,462,2014,12,13
2376,目白台一丁目,1296,2241,1233,1008,2014,12,39
2377,目白台二丁目,1167,2132,1001,1131,2014,12,26
2378,目白台三丁目,1329,2553,1202,1351,2014,12,38
2379,音羽一丁目,2341,3945,1755,2190,2014,12,92
2380,音羽二丁目,976,1765,774,991,2014,12,40
2381,本郷一丁目,2107,4117,1892,2225,2014,12,63
2382,本郷二丁目,1729,2922,1375,1547,2014,12,88
2383,本郷三丁目,1883,2961,1385,1576,2014,12,108
2384,本郷四丁目,2213,4002,1895,2107,2014,12,71
2385,本郷五丁目,1853,3300,1697,1603,2014,12,59
2386,本郷六丁目,1098,1892,958,934,2014,12,67
2387,湯島一丁目,465,689,319,370,2014,12,19
2388,湯島二丁目,1543,2535,1277,1258,2014,12,83
2389,湯島三丁目,1800,2801,1389,1412,2014,12,164
2390,湯島四丁目,1116,1997,1008,989,2014,12,37
2391,西片一丁目,1184,2385,1117,1268,2014,12,36
2392,西片二丁目,1452,2908,1451,1457,2014,12,40
2393,向丘一丁目,1788,3261,1644,1617,2014,12,86
2394,向丘二丁目,1873,3238,1517,1721,2014,12,78
2395,弥生一丁目,236,421,213,208,2014,12,9
2396,弥生二丁目,828,1562,754,808,2014,12,26
2397,根津一丁目,1396,2497,1109,1388,2014,12,31
2398,根津二丁目,2156,3723,1769,1954,2014,12,71
2399,千駄木一丁目,704,1453,675,778,2014,12,24
2400,千駄木二丁目,2465,4337,2040,2297,2014,12,139
2401,千駄木三丁目,3692,6624,3158,3466,2014,12,147
2402,千駄木四丁目,1582,2951,1478,1473,2014,12,97
2403,千駄木五丁目,2238,4586,2202,2384,2014,12,74
2404,本駒込一丁目,2335,4533,2136,2397,2014,12,95
2405,本駒込二丁目,2564,4877,2353,2524,2014,12,95
2406,本駒込三丁目,1799,3230,1541,1689,2014,12,74
2407,本駒込四丁目,2116,4138,2005,2133,2014,12,60
2408,本駒込五丁目,2971,5541,2665,2876,2014,12,191
2409,本駒込六丁目,1737,3391,1540,1851,2014,12,68
2410,後楽一丁目,573,880,492,388,2013,1,11
2411,後楽二丁目,841,1492,743,749,2013,1,40
2412,春日一丁目,963,1534,711,823,2013,1,85
2413,春日二丁目,1917,3789,1822,1967,2013,1,102
2414,小石川一丁目,1947,3592,1639,1953,2013,1,87
2415,小石川二丁目,2047,3725,1748,1977,2013,1,84
2416,小石川三丁目,2396,4900,2331,2569,2013,1,77
2417,小石川四丁目,1692,3377,1517,1860,2013,1,83
2418,小石川五丁目,2827,5341,2475,2866,2013,1,147
2419,白山一丁目,2523,4582,2221,2361,2013,1,184
2420,白山二丁目,2124,3961,1935,2026,2013,1,123
2421,白山三丁目,528,1020,482,538,2013,1,25
2422,白山四丁目,2232,4308,2054,2254,2013,1,103
2423,白山五丁目,2020,3618,1656,1962,2013,1,163
2424,千石一丁目,1809,3787,1798,1989,2013,1,67
2425,千石二丁目,1924,3912,1866,2046,2013,1,74
2426,千石三丁目,2080,4199,2043,2156,2013,1,70
2427,千石四丁目,2969,5134,2440,2694,2013,1,166
